Title,Rank,Artist,URL,Trend,Streams,Streams increase since last release,Weeks in top 200,Consecutive weeks in top 200,Best rank,Prior rank,Rank change,Up or down,Song rank in next top 200 release,Streams in next release,In next release
Magnolia,83,Playboi Carti,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl,MOVE_UP,"301,411","-8,942",265,265,10,91,-8,1,80,276549,1
How Long,87,Charlie Puth,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,MOVE_UP,"291,233","-19,585",98,31,36,89,-2,1,86,262463,1
What Ifs (feat. Lauren Alaina),125,Kane Brown,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W,MOVE_DOWN,"241,228","-32,939",224,19,45,114,11,-1,126,217763,1
...Ready For It?,132,Taylor Swift,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,MOVE_UP,"234,180","-11,880",41,19,58,146,-14,1,141,202181,1
Tip Toe (feat. French Montana),137,Jason Derulo,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6,MOVE_UP,"229,720","-24,782",57,19,74,139,-2,1,128,215348,1
KOODA,164,6ix9ine,https://open.spotify.com/track/5NT0aZqWImC9fTzkW4z48o,MOVE_DOWN,"207,828","-25,768",39,19,77,152,12,-1,154,194208,1
Don't,179,Bryson Tiller,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,MOVE_DOWN,"195,283","-18,093",360,12,77,171,8,-1,162,186400,1
Till I Collapse,200,"Eminem, Nate Dogg",https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT,NEW_ENTRY,"181,809","81,809",208,1,112,201,-1,1,201,100000,0
LOVE. FEAT. ZACARI.,12,Kendrick Lamar,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,SAME_POSITION,"696,314","-68,804",273,273,5,12,0,0,11,733722,1
Congratulations,26,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,MOVE_UP,"536,952","-52,108",376,376,5,27,-1,1,31,552375,1
New Rules,38,Dua Lipa,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,MOVE_DOWN,"468,590","-52,508",188,188,11,37,1,-1,36,504232,1
1-800-273-8255,39,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,SAME_POSITION,"464,805","-50,873",252,249,1,39,0,0,39,490174,1
goosebumps,43,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,SAME_POSITION,"435,625","-41,166",376,376,16,43,0,0,48,435339,1
Shape of You,66,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,MOVE_UP,"323,139","-31,615",371,371,1,68,-2,1,68,339071,1
